id;title;image;approval;description;weights;review_ready
40;The Green Mile;/content/images/movies/40.jpg;100;The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.;[];false
41;Psycho;/content/images/movies/41.jpg;100;A Phoenix secretary steals $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.;[];false
42;Raiders of the Lost Ark;/content/images/movies/42.jpg;100;Archaeologist and adventurer Indiana Jones is hired by the US government to find the Ark of the Covenant before the Nazis.;[];false
43;Rear Window;/content/images/movies/43.jpg;100;A wheelchair-bound photographer spies on his neighbours from his apartment window and becomes convinced one of them has committed murder.;[];false
44;The Pianist;/content/images/movies/44.jpg;100;A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.;[];false
45;The Departed;/content/images/movies/45.jpg;100;An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.;[];false
46;Terminator 2: Judgment Day;/content/images/movies/46.jpg;100;A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her young son, John Connor, from a more advanced cyborg, made out of liquid metal.;[];false
47;Gladiator;/content/images/movies/47.jpg;100;When a Roman general is betrayed and his family murdered by an emperor's corrupt son, he comes to Rome as a gladiator to seek revenge.;[];false
48;Whiplash;/content/images/movies/48.jpg;100;A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.;[];false
49;The Message;/content/images/movies/49.jpg;100;In the 7th century, Mohammed is visited by Angel Gabriel who urges him to lead the people of Mecca and worship God. But they're exiled in Medina before returning to Mecca to take up arms ...;[];false
50;Back to the Future;/content/images/movies/50.jpg;100;A young man is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his friend, Dr. Emmett Brown, and must make sure his high-school-age parents unite in order to save his own existence.;[];false
51;The Prestige;/content/images/movies/51.jpg;100;Two stage magicians engage in competitive one-upmanship in an attempt to create the ultimate stage illusion.;[];false
52;Memento;/content/images/movies/52.jpg;100;"A man creates a strange system to help him remember things; so he can hunt for the murderer of his wife without his short-term memory loss being an obstacle.";[];false
54;The Lion King;/content/images/movies/54.jpg;100;Lion cub and future king Simba searches for his identity. His eagerness to please others and penchant for testing his boundaries sometimes gets him into trouble.;[];false
55;Cinema Paradiso;/content/images/movies/55.jpg;100;A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.;[];false
56;Apocalypse Now;/content/images/movies/56.jpg;100;During the Vietnam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade colonel who has set himself up as a god among a local tribe.;[];false
57;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;/content/images/movies/57.jpg;100;An insane general triggers a path to nuclear holocaust that a war room full of politicians and generals frantically try to stop.;[];false
58;The Great Dictator;/content/images/movies/58.jpg;100;Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.;[];false
59;Baahubali: The Beginning;/content/images/movies/59.jpg;100;In ancient India, an adventurous and daring man becomes involved in a decades old feud between two warring people.;[];false
60;The Dark Knight Rises;/content/images/movies/60.jpg;100;Eight years after the Joker's reign of anarchy, the Dark Knight, with the help of the enigmatic Selina, is forced from his imposed exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.;[];false
61;Children of Heaven;/content/images/movies/61.jpg;100;"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.";[];false
62;Grave of the Fireflies;/content/images/movies/62.jpg;100;A young boy and his little sister struggle to survive in Japan during World War II.;[];false
63;The Lives of Others;/content/images/movies/63.jpg;100;In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.;[];false
64;Alien;/content/images/movies/64.jpg;100;After a space merchant vessel perceives an unknown transmission as distress call, their landing on the source planet finds one of the crew attacked by a mysterious lifeform. Continuing their journey back to Earth with the attacked crew having recovered an;[];false
65;Paths of Glory;/content/images/movies/65.jpg;100;After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.;[];false
66;Django Unchained;/content/images/movies/66.jpg;100;With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.;[];false
67;3 Idiots;/content/images/movies/67.jpg;100;"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".";[];false
68;The Shining;/content/images/movies/68.jpg;100;A family heads to an isolated hotel for the winter where an evil and spiritual presence influences the father into violence, while his psychic son sees horrific forebodings from the past and of the future.;[];false
69;Witness for the Prosecution;/content/images/movies/69.jpg;100;A veteran British barrister must defend his client in a murder trial that has surprise after surprise.;[];false
71;Princess Mononoke;/content/images/movies/71.jpg;100;On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.;[];false
72;American Beauty;/content/images/movies/72.jpg;100;A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.;[];false
73;Das Boot;/content/images/movies/73.jpg;100;"The claustrophobic world of a WWII German U-boat; boredom, filth, and sheer terror.";[];false
74;Once Upon a Time in America;/content/images/movies/74.jpg;100;A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.;[];false
75;Oldboy;/content/images/movies/75.jpg;100;After being kidnapped and imprisoned for 15 years, Oh Dae-Su is released, only to find that he must find his captor in 5 days.;[];false
77;Aliens;/content/images/movies/77.jpg;100;The planet from Alien (1979) has been colonized, but contact is lost. This time, the rescue team has impressive firepower, but will it be enough?;[];false
78;Citizen Kane;/content/images/movies/78.jpg;100;Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance.;[];false
79;North by Northwest;/content/images/movies/79.jpg;100;A hapless New York advertising executive is mistaken for a government agent by a group of foreign spies, and is pursued across the country while he looks for a way to survive.;[];false
80;A Separation;/content/images/movies/80.jpg;100;A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.;[];false
82;Vertigo;/content/images/movies/82.jpg;100;A San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.;[];false
